Points_0,Points_1,Points_2,Points_Magnitude,U_0,U_0_0,U_0_1,U_0_2,U_0_Magnitude,U_1,U_2,U_Magnitude,cellMotionU_0,cellMotionU_1,cellMotionU_2,cellMotionU_Magnitude,k,nut,omega,p,pointMotionU_0,pointMotionU_1,pointMotionU_2,pointMotionU_Magnitude,rAU,Block Number,Point ID
0,-0.348968,0.125636,0.370895,-4.35E-17,-4.35E-17,9.11E-17,2.75E-16,2.93E-16,9.11E-17,2.75E-16,2.93E-16,0,0,0,0,3.26E-06,0,6050.67,0.0574685,0,0,0,0,0.0165318,5,27102
0,-0.366333,0.0580202,0.370899,-1.29E-16,-1.29E-16,-8.68E-17,-5.35E-16,5.58E-16,-8.68E-17,-5.35E-16,5.58E-16,0,0,0,0,3.07E-06,0,6354.45,0.057468,0,0,0,0,0.0157914,5,27090
0,-0.364387,0.0695092,0.370957,-1.73E-16,-1.73E-16,-5.78E-17,-3.37E-16,3.83E-16,-5.78E-17,-3.37E-16,3.83E-16,0,0,0,0,3.12E-06,0,6258.94,0.0574623,0,0,0,0,0.0160164,5,27092
0,-0.313167,0.19874,0.370906,-1.30E-16,-1.30E-16,6.30E-17,1.33E-16,1.96E-16,6.30E-17,1.33E-16,1.96E-16,0,0,0,0,3.13E-06,0,6190.16,0.0574614,0,0,0,0,0.0162104,5,27116
0,-0.325006,-0.178672,0.370881,8.75E-17,8.75E-17,5.73E-16,-1.09E-15,1.23E-15,5.73E-16,-1.09E-15,1.23E-15,0,0,0,0,3.20E-06,0,6097.08,0.0574604,0,0,0,0,0.0164283,5,19
0,-0.136572,-0.344948,0.371,4.19E-17,4.19E-17,4.96E-16,-2.08E-16,5.39E-16,4.96E-16,-2.08E-16,5.39E-16,0,0,0,0,3.26E-06,0,6043.41,0.0574548,0,0,0,0,0.0165581,5,13830
0,-0.136572,0.344948,0.371,4.22E-17,4.22E-17,9.53E-16,3.80E-16,1.03E-15,9.53E-16,3.80E-16,1.03E-15,0,0,0,0,3.26E-06,0,6043.41,0.0574533,0,0,0,0,0.0165581,5,40381
0,-0.33052,0.168406,0.37095,-1.29E-16,-1.29E-16,-6.65E-18,-1.34E-17,1.30E-16,-6.65E-18,-1.34E-17,1.30E-16,0,0,0,0,3.22E-06,0,6072.29,0.0574529,0,0,0,0,0.0164906,5,27110
0,-0.33052,-0.168406,0.37095,4.53E-17,4.53E-17,5.66E-16,-1.07E-15,1.21E-15,5.66E-16,-1.07E-15,1.21E-15,0,0,0,0,3.21E-06,0,6072.29,0.0574455,0,0,0,0,0.0164889,5,21
0,-0.33561,-0.157924,0.37091,4.50E-17,4.50E-17,2.55E-16,-5.62E-16,6.18E-16,2.55E-16,-5.62E-16,6.18E-16,0,0,0,0,3.23E-06,0,6054.41,0.0574435,0,0,0,0,0.0165338,5,23
